AGE,Base Salary,CUM YEARLY CASH,Cap Hit,Dead,Dead Cap,Misc.,Option,PLAYER,Restructure,Roster,Roster Bonus,Signing,Signing Bonus,TEAM,Workout,Workout Bonus,YEAR,Yearly Cash
33,"$6,000,000","$29,250,000","$17,700,000",,"$96,900,000",,"$2,400,000",Matt Ryan,-,-,,"$9,300,000",,Falcons,,,2018,"$29,250,000"
34,"$2,750,000","$74,014,610","$15,800,000",,"$79,200,000",,"$2,000,000",Matt Ryan,"$1,750,000",-,,"$9,300,000",,Falcons,,,2019,"$44,764,610"
35,"$1,050,000","$94,514,610","$18,962,500",,"$75,850,000",,"$2,000,000",Matt Ryan,"$6,612,500",-,,"$9,300,000",,Falcons,,,2020,"$20,500,000"
36,"$23,000,000","$117,514,610","$40,912,500",,"$49,937,500",,"$2,000,000",Matt Ryan,"$6,612,500",-,,"$9,300,000",,Falcons,,,2021,"$23,000,000"
37,"$16,250,000","$141,264,610","$41,662,500",,"$26,525,000",,"$2,000,000",Matt Ryan,"$6,612,500","$7,500,000",,"$9,300,000",,Falcons,,,2022,"$23,750,000"
38,"$20,500,000","$169,264,610","$36,612,500",,"$8,612,500",,"$2,000,000",Matt Ryan,"$6,612,500","$7,500,000",,-,,Falcons,,,2023,"$28,000,000"
27,"$7,000,000","$41,000,000","$13,800,000",,"$60,000,000",,,Khalil Mack,-,-,,"$6,800,000",,Bears,,,2018,"$41,000,000"
28,"$2,300,000","$56,518,121","$11,900,000",,"$57,200,000",,,Khalil Mack,"$2,600,000","$200,000",,"$6,800,000",,Bears,,,2019,"$15,518,121"
29,"$13,300,000","$73,718,121","$26,600,000",,"$63,800,000",,,Khalil Mack,"$2,600,000","$3,900,000",,"$6,800,000",,Bears,,,2020,"$17,200,000"
30,"$17,046,000","$90,964,121","$26,646,000",,"$37,400,000",,,Khalil Mack,"$2,600,000","$200,000",,"$6,800,000",,Bears,,,2021,"$17,246,000"
31,"$12,050,000","$108,714,121","$27,150,000",,"$12,000,000",,,Khalil Mack,"$2,600,000","$5,700,000",,"$6,800,000",,Bears,,,2022,"$17,750,000"
32,"$17,200,000","$131,614,121","$25,500,000",,"$2,600,000",,,Khalil Mack,"$2,600,000","$5,700,000",,-,,Bears,,,2023,"$22,900,000"
33,"$17,550,000","$154,864,121","$23,250,000",,-,,,Khalil Mack,-,"$5,700,000",,-,,Bears,,,2024,"$23,250,000"
30,"$5,000,000","$35,000,000","$26,286,668",,"$78,286,668",,,Russell Wilson,"$2,086,668",-,,"$19,200,000",,Seahawks,,,2019,"$35,000,000"
31,"$18,000,000","$88,000,000","$31,000,000",,"$70,000,000",,,Russell Wilson,-,-,,"$13,000,000",,Seahawks,,,2020,"$53,000,000"
32,"$19,000,000","$107,000,000","$32,000,000",,"$39,000,000",,,Russell Wilson,-,-,,"$13,000,000",,Seahawks,,,2021,"$19,000,000"
33,"$19,000,000","$131,000,000","$37,000,000",,"$26,000,000",,,Russell Wilson,-,"$5,000,000",,"$13,000,000",,Seahawks,,,2022,"$24,000,000"
